# impl_a independent odd-order exact enumerator n=17 tau=29
# columns	canonical	oriented	S	r	c	d	d_unused	a	a_unused	sign	pair_orbits	orbit_sha256	A_per_orbit	A_checked	A_tree_nodes	prefilter_survivors	exact_calls	completion_nodes	verdict	witness_R	witness_C	witness_D	witness_A	seconds
4,10,9,10	4,10,9,10	33	4	10	9	0	10	0	0	10108	7b38846978118b8956dcb7e17f8915537dcb3de0432d0bcb0824030e8646279d	19448	196580384	7692003	631892	631892	0	UNSAT					0.657560
4,10,9,11	4,10,9,11	34	4	10	9	0	11	0	0	10108	7b38846978118b8956dcb7e17f8915537dcb3de0432d0bcb0824030e8646279d	12376	125096608	67792498	6301547	6301547	0	UNSAT					9.726801
4,10,10,10	4,10,10,10	34	4	10	10	0	10	0	1	6300	792c989403b011b8b542aa813ef08018626f23be358a4facdcc2d7222fba052f	19448	122522400	4999834	421910	421910	0	UNSAT					0.437375
4,11,8,8	4,11,8,8	31	4	11	8	0	8	0	1	4116	f344f2d115f1267c9880f63dbcc4f6d86291252863bbefc14d57193363562b4a	24310	100059960	28146	1536	1536	0	UNSAT					0.015500
4,11,8,9	4,11,8,9	32	4	11	8	0	9	0	0	6468	823e6f8a7e1b022958ceff5a81cb950a56e1ea153fc8b5d21d220a4cc6685d71	24310	157237080	3726831	289850	289850	0	UNSAT					0.306703
4,11,8,10	4,11,8,10	33	4	11	8	0	10	0	0	6468	823e6f8a7e1b022958ceff5a81cb950a56e1ea153fc8b5d21d220a4cc6685d71	19448	125789664	66279592	6331917	6331917	0	UNSAT					6.253752
4,11,9,9	4,11,9,9	33	4	11	9	0	9	0	1	4116	f344f2d115f1267c9880f63dbcc4f6d86291252863bbefc14d57193363562b4a	24310	100059960	2508086	198362	198362	0	UNSAT					0.209415
4,11,9,10	4,11,9,10	34	4	11	9	0	10	0	0	6468	823e6f8a7e1b022958ceff5a81cb950a56e1ea153fc8b5d21d220a4cc6685d71	19448	125789664	66279592	6331917	6331917	0	UNSAT					6.292693
5,6,6,6	5,6,6,6	23	5	6	6	0	6	0	1	9604	a224d3282a8c1b02d550b927a88f9a1adbada22ca8e2d40aa2f4bab3dbcced2f	12376	118859104	0	0	0	0	UNSAT					0.029148
5,6,6,7	5,6,7,6	24	5	6	7	0	6	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	0	0	0	0	UNSAT					0.054462
5,6,6,8	5,6,8,6	25	5	6	8	0	6	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	0	0	0	0	UNSAT					0.051543
5,6,6,9	5,6,9,6	26	5	6	9	0	6	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	0	0	0	0	UNSAT					0.049931
5,6,6,10	5,6,10,6	27	5	6	10	0	6	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	0	0	0	0	UNSAT					0.058422
5,6,6,11	5,6,6,11	28	5	6	6	0	11	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	4303	246	246	0	UNSAT					0.053158
5,6,6,12	5,6,6,12	29	5	6	6	0	12	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	6188	103092080	23054	1488	1488	0	UNSAT					0.062390
5,6,7,7	5,6,7,7	25	5	6	7	0	7	0	1	9604	a224d3282a8c1b02d550b927a88f9a1adbada22ca8e2d40aa2f4bab3dbcced2f	19448	186778592	0	0	0	0	UNSAT					0.030958
5,6,7,8	5,6,8,7	26	5	6	8	0	7	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	19448	324003680	0	0	0	0	UNSAT					0.049858
5,6,7,9	5,6,9,7	27	5	6	9	0	7	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	19448	324003680	0	0	0	0	UNSAT					0.054662
5,6,7,10	5,6,7,10	28	5	6	7	0	10	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	19448	324003680	595	29	29	0	UNSAT					0.054036
5,6,7,11	5,6,7,11	29	5	6	7	0	11	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	4303	246	246	0	UNSAT					0.050159
5,6,7,12	5,6,7,12	30	5	6	7	0	12	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	6188	103092080	23054	1488	1488	0	UNSAT					0.057340
5,6,8,8	5,6,8,8	27	5	6	8	0	8	0	1	9604	a224d3282a8c1b02d550b927a88f9a1adbada22ca8e2d40aa2f4bab3dbcced2f	24310	233473240	0	0	0	0	UNSAT					0.030187
5,6,8,9	5,6,8,9	28	5	6	8	0	9	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	24310	405004600	67	2	2	0	UNSAT					0.051718
5,6,8,10	5,6,8,10	29	5	6	8	0	10	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	19448	324003680	595	29	29	0	UNSAT					0.049743
5,6,8,11	5,6,8,11	30	5	6	8	0	11	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	4303	246	246	0	UNSAT					0.050905
5,6,8,12	5,6,8,12	31	5	6	8	0	12	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	6188	103092080	23054	1488	1488	0	UNSAT					0.058215
5,6,9,9	5,6,9,9	29	5	6	9	0	9	0	1	9604	a224d3282a8c1b02d550b927a88f9a1adbada22ca8e2d40aa2f4bab3dbcced2f	24310	233473240	67	2	2	0	UNSAT					0.028964
5,6,9,10	5,6,9,10	30	5	6	9	0	10	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	19448	324003680	595	29	29	7	UNSAT					0.054094
5,6,9,11	5,6,9,11	31	5	6	9	0	11	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	4303	246	246	23	UNSAT					0.056789
5,6,9,12	5,6,9,12	32	5	6	9	0	12	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	6188	103092080	23054	1488	1488	0	UNSAT					0.056910
5,6,10,10	5,6,10,10	31	5	6	10	0	10	0	1	9604	a224d3282a8c1b02d550b927a88f9a1adbada22ca8e2d40aa2f4bab3dbcced2f	19448	186778592	595	29	29	71	UNSAT					0.031020
5,6,10,11	5,6,10,11	32	5	6	10	0	11	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	12376	206184160	4303	246	246	62	UNSAT					0.055310
5,6,10,12	5,6,10,12	33	5	6	10	0	12	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	6188	103092080	23054	1488	1488	0	UNSAT					0.056247
5,6,11,11	5,6,11,11	33	5	6	11	0	11	0	1	9604	a224d3282a8c1b02d550b927a88f9a1adbada22ca8e2d40aa2f4bab3dbcced2f	12376	118859104	3951	234	234	0	UNSAT					0.032094
5,6,11,12	5,6,11,12	34	5	6	11	0	12	0	0	16660	621fe2359bce3e8e4ebfd601a02f58512908107cba7c66596b252c48d3eeba8c	6188	103092080	23054	1488	1488	0	UNSAT					0.060401
5,7,6,6	6,6,7,5	24	6	6	7	0	5	0	0	16709	c182274ba7fe99b027b1c8ea916f5051babd877714befee54afb1233c9edaca8	6188	103395292	0	0	0	0	UNSAT					0.053585
5,7,6,7	5,7,7,6	25	5	7	7	0	6	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	0	0	0	0	UNSAT					0.080305
5,7,6,8	5,7,8,6	26	5	7	8	0	6	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	0	0	0	0	UNSAT					0.085588
5,7,6,9	5,7,9,6	27	5	7	9	0	6	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	0	0	0	0	UNSAT					0.089693
5,7,6,10	5,7,10,6	28	5	7	10	0	6	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	0	0	0	0	UNSAT					0.081343
5,7,6,11	6,11,7,5	29	6	11	7	0	5	0	0	33320	4040d378887e89b41e6a72928fa5de2ba1e46909662d9ab373d4dd11f8f21c96	6188	206184160	5285	246	246	0	UNSAT					0.122637
