# profile	S	survives_sweep_domination	fix_pair	orbits_g7200	completions_per_orbit	completions	Q_needed
5,8,7,9	29	1	RC	6574	5005	32902870	127
5,8,8,8	29	1	RC	6574	6435	42303690	123
5,9,5,10	29	1	DA	3175	5005	15890875	151
5,9,6,9	29	1	RC	5257	5005	26311285	135
5,9,7,8	29	1	RC	5257	6435	33828795	127
5,10,6,8	29	1	RC	3175	6435	20431125	139
5,10,7,7	29	1	RC	3175	6435	20431125	135
5,11,6,7	29	1	RC	1614	6435	10386090	151
5,12,6,6	29	1	RC	562	5005	2812810	171
6,6,6,11	29	1	DA	2668	5005	13353340	147
6,6,7,10	29	1	RC	4411	3003	13246233	131
6,6,8,9	29	1	RC	4411	5005	22077055	123
6,7,6,10	29	1	DA	5257	6435	33828795	131
6,7,7,9	29	1	RC	10908	5005	54594540	119
6,7,8,8	29	1	DA	6892	6435	44350020	115
6,8,6,9	29	1	DA	8717	6435	56093895	123
6,8,7,8	29	1	RC	10908	6435	70192980	115
6,9,7,7	29	1	DA	6892	5005	34494460	119
7,7,7,8	29	1	RC	6892	6435	44350020	111
