canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
6,6,1,5,4,3	6,6,3,4,5,1	25	6	6	3	4	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.058088
6,6,1,5,4,3	6,6,4,3,1,5	25	6	6	4	3	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.031381
6,6,1,6,2,4	6,6,2,4,1,6	25	6	6	2	4	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.020452
6,6,1,6,2,4	6,6,4,2,6,1	25	6	6	4	2	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.022075
6,6,1,6,3,3	6,6,3,3,1,6	25	6	6	3	3	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.040134
6,6,1,6,3,3	6,6,3,3,6,1	25	6	6	3	3	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.021042
6,6,2,4,2,5	6,6,2,4,2,5	25	6	6	2	4	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.126604
6,6,2,4,2,5	6,6,4,2,5,2	25	6	6	4	2	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.139048
6,6,2,4,3,4	6,6,3,4,2,4	25	6	6	3	4	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.151831
6,6,2,4,3,4	6,6,4,3,4,2	25	6	6	4	3	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.193978
6,6,2,4,4,3	6,6,3,4,4,2	25	6	6	3	4	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.184752
6,6,2,4,4,3	6,6,4,3,2,4	25	6	6	4	3	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.200187
6,6,2,4,5,2	6,6,2,4,5,2	25	6	6	2	4	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.121367
6,6,2,4,5,2	6,6,4,2,2,5	25	6	6	4	2	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.119308
6,6,2,5,3,3	6,6,3,3,2,5	25	6	6	3	3	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.140418
6,6,2,5,3,3	6,6,3,3,5,2	25	6	6	3	3	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.125265
6,6,3,3,3,4	6,6,3,4,3,3	25	6	6	3	4	3	3	0	16496	3136	51731456	0	0	0	UNSAT	0.305484
6,6,3,3,3,4	6,6,4,3,3,3	25	6	6	4	3	3	3	0	16496	3136	51731456	0	0	0	UNSAT	0.307330
6,7,0,6,0,6	6,7,0,6,0,6	25	6	7	0	6	0	6	1	26876	28	752528	0	0	0	UNSAT	0.009977
6,7,0,6,0,6	6,7,6,0,6,0	25	6	7	6	0	6	0	1	26876	28	752528	0	0	0	UNSAT	0.009722
6,7,0,6,1,5	6,7,1,5,0,6	25	6	7	1	5	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.039107
6,7,0,6,1,5	6,7,5,1,6,0	25	6	7	5	1	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.020047
6,7,0,6,2,4	6,7,2,4,0,6	25	6	7	2	4	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.017494
6,7,0,6,2,4	6,7,4,2,6,0	25	6	7	4	2	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.019647
6,7,0,6,3,3	6,7,3,3,0,6	25	6	7	3	3	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.038641
6,7,0,6,3,3	6,7,3,3,6,0	25	6	7	3	3	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.019459
6,7,1,5,1,5	6,7,1,5,1,5	25	6	7	1	5	1	5	1	26876	448	12040448	0	0	0	UNSAT	0.081794
6,7,1,5,1,5	6,7,5,1,5,1	25	6	7	5	1	5	1	1	26876	448	12040448	0	0	0	UNSAT	0.051413
6,7,1,5,2,4	6,7,2,4,1,5	25	6	7	2	4	1	5	0	45996	448	20606208	0	0	0	UNSAT	0.106052
6,7,1,5,2,4	6,7,4,2,5,1	25	6	7	4	2	5	1	0	45996	448	20606208	0	0	0	UNSAT	0.137895
6,7,1,5,3,3	6,7,3,3,1,5	25	6	7	3	3	1	5	0	45996	448	20606208	0	0	0	UNSAT	0.125144
6,7,1,5,3,3	6,7,3,3,5,1	25	6	7	3	3	5	1	0	45996	448	20606208	0	0	0	UNSAT	0.170411
6,7,2,4,2,4	6,7,2,4,2,4	25	6	7	2	4	2	4	1	26876	1960	52676960	0	0	0	UNSAT	0.329120
6,7,2,4,2,4	6,7,4,2,4,2	25	6	7	4	2	4	2	1	26876	1960	52676960	0	0	0	UNSAT	0.372789
6,7,2,4,3,3	6,7,3,3,2,4	25	6	7	3	3	2	4	0	45996	1960	90152160	0	0	0	UNSAT	0.554629
6,7,2,4,3,3	6,7,3,3,4,2	25	6	7	3	3	4	2	0	45996	1960	90152160	0	0	0	UNSAT	0.560572
6,7,3,3,3,3	6,7,3,3,3,3	25	6	7	3	3	3	3	1	26876	3136	84283136	0	0	0	UNSAT	0.482878
7,7,0,5,0,6	7,7,0,5,0,6	25	7	7	0	5	0	6	0	32666	28	914648	0	0	0	UNSAT	0.012395
7,7,0,5,0,6	7,7,5,0,6,0	25	7	7	5	0	6	0	0	32666	28	914648	7	0	0	UNSAT	0.012504
7,7,0,5,1,5	7,7,1,5,0,5	25	7	7	1	5	0	5	0	32666	56	1829296	0	0	0	UNSAT	0.018673
7,7,0,5,1,5	7,7,5,1,5,0	25	7	7	5	1	5	0	0	32666	56	1829296	0	0	0	UNSAT	0.016849
7,7,0,5,2,4	7,7,2,4,0,5	25	7	7	2	4	0	5	0	32666	56	1829296	0	0	0	UNSAT	0.016751
7,7,0,5,2,4	7,7,4,2,5,0	25	7	7	4	2	5	0	0	32666	56	1829296	0	0	0	UNSAT	0.036373
